restaurant_id,ingredient_id,ingredient_name,date,total_cost,rolling_avg,alert_type
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,31.65,57.48,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,33.9,53.55,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,49.44,56.34,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,24.36,53.27,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,17.65,52.86,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,25.57,52.02,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,20.17,45.42,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,21.3,43.69,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,29.75,42.11,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,32.9,41.3,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,37.57,45.44,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,45.44,55.35,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,45.72,60.15,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,30.34,55.5,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,38.81,53.53,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,37,50.2,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,34.61,48.56,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,22.67,47.25,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,25.66,41.76,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,28.82,43.21,Price Drop >10%
1,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,16.65,40.99,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,23.27,52.88,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,17.18,47.78,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,36.67,48.75,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,28.71,46.75,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,33.15,45.05,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,39.3,43.74,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,32.15,48.77,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,21.33,44.13,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,41.44,46.72,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,15.66,47.54,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,31.85,43.75,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,31.56,43.69,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,41.08,50.8,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,39.26,50.73,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,17.8,53.32,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,30.19,52.84,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,35.91,54.5,Price Drop >10%
2,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,22.22,56.46,Price Drop >10%
3,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,39.2,49.7,Price Drop >10%
3,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,24.55,48.71,Price Drop >10%
3,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,38.02,46.02,Price Drop >10%
3,13,"12    Lettuce
Name: name, dtype: object",YYYY-00-DD 00:00:SS,22.42,49.79,Price Drop >10%
