date,restaurant_id,dish_id,dish_name,forecast_qty,sold_qty,percent_sold,price_dropped,reason
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,53,28,52.8,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,32,40,125,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,55,38,69.1,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,41,52,126.8,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,1,5,Spicy Ramen,50,29,58,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,1,6,Biryani,42,36,85.7,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,1,7,Bulgogi Bowl,32,41,128.1,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,1,8,Coconut Curry,54,36,66.7,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,1,9,Veg Risotto,58,49,84.5,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,1,10,Paneer Tikka,34,46,135.3,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,2,1,Butter Chicken,49,37,75.5,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,2,2,Tofu Stir Fry,39,39,100,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,2,3,Salmon Salad,50,24,48,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,2,4,Chicken Teriyaki,56,28,50,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,2,5,Spicy Ramen,34,37,108.8,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,2,6,Biryani,54,35,64.8,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,2,7,Bulgogi Bowl,30,33,110,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,2,8,Coconut Curry,51,58,113.7,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,2,9,Veg Risotto,43,30,69.8,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,2,10,Paneer Tikka,55,46,83.6,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,1,1,Butter Chicken,44,25,56.8,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,1,2,Tofu Stir Fry,36,41,113.9,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,1,3,Salmon Salad,53,41,77.4,TRUE,Low sales – EOD markdown
YYYY-00-DD 00:00:SS,1,4,Chicken Teriyaki,46,32,69.6,TRUE,Low sales – EOD markdown
